189,41,230,109,1.000000
192,42,233,110,0.956533
196,44,237,112,0.902675
199,47,240,116,0.809630
200,48,241,117,0.688812
201,49,242,118,0.642740
202,49,244,119,0.628739
203,49,245,119,0.770592
203,50,245,119,0.697243
205,50,247,120,0.632757
206,50,248,119,0.790993
208,51,250,120,0.831686
208,51,250,120,0.774036
207,51,249,120,0.738083
204,50,246,119,0.825743
202,48,244,118,0.852643
199,46,241,115,0.883967
192,44,234,113,0.917017
189,43,231,112,0.862711
186,42,228,111,0.900354
180,40,222,109,0.831197
178,39,220,108,0.879202
176,38,218,107,0.857152
174,38,216,107,0.817459
174,38,216,107,0.792246
179,41,221,110,0.837765
184,43,226,112,0.822577
195,48,237,118,0.814290
202,53,244,122,0.778188
206,57,248,126,0.873182
213,65,255,134,0.769978
216,69,258,138,0.752823
219,76,261,145,0.590177
219,78,261,147,0.608720
216,78,258,147,0.618589
206,74,248,143,0.661683
199,71,241,139,0.656394
190,65,232,133,0.678381
173,58,215,126,0.750596
167,54,209,122,0.777906
159,49,201,117,0.745112
156,48,198,116,0.713961
154,47,196,115,0.676042
154,45,196,114,0.652914
154,44,196,114,0.649604
158,40,201,111,0.657406
161,37,205,108,0.705460
165,36,209,107,0.699497
169,33,214,107,0.646512
170,31,216,107,0.606686
172,28,219,105,0.609186
172,27,219,106,0.665135
172,27,219,107,0.671783
173,33,220,113,0.702504
175,39,221,119,0.748538
180,50,226,128,0.737641
183,56,229,134,0.636492
185,62,230,139,0.525770
188,71,232,147,0.643993
189,78,232,152,0.631029
191,85,233,157,0.628180
192,88,234,159,0.698133
194,93,235,163,0.695229
195,96,236,165,0.690656
197,102,237,169,0.670775
197,104,237,171,0.609884
197,107,237,173,0.636509
198,110,237,176,0.649871
199,112,238,178,0.625354
199,114,238,179,0.627402
200,118,238,182,0.615601
199,120,237,183,0.609841
193,121,231,184,0.617467
189,121,227,184,0.617556
183,120,221,183,0.642747
168,118,207,182,0.673012
162,118,200,182,0.649194
150,119,189,184,0.649140
146,120,184,184,0.619354
143,123,180,185,0.595900
139,125,175,185,0.545099
136,126,172,186,0.547271
129,127,164,186,0.530759
123,130,157,188,0.499687
121,132,154,189,0.483449
117,136,149,191,0.461582
115,137,146,190,0.453175
111,139,140,189,0.474308
109,140,138,190,0.488716
104,141,132,190,0.432330
102,142,130,190,0.424562
98,143,126,190,0.445748
94,145,122,192,0.471940
92,147,120,194,0.479165
94,148,122,195,0.483495
103,148,132,197,0.447439
109,147,139,197,0.410553
126,146,158,199,0.527520
133,145,166,200,0.545639
147,143,182,201,0.533709
157,140,193,199,0.572296
160,138,196,198,0.557056
166,136,202,196,0.542860
169,135,205,196,0.543223
175,133,212,195,0.555342
182,131,219,194,0.549013
186,131,223,193,0.570474
193,129,230,192,0.562206
200,129,237,192,0.557308
204,129,241,192,0.533799
208,129,245,192,0.535324
214,130,251,192,0.542888
216,131,253,193,0.565599
217,134,254,195,0.592153
214,136,251,197,0.591238
